Installed Asset Serial Number,Ticket Number,Title,Installed Asset,Status,Resources,Client,Total Hours Worked,Contract,Priority,Created,Due,Billed Hours,Classification,Queue,Role
FGY88D3,T20220908.0013,Dell 3100 N4020 2-in-1 - 4GB/32GB - Dual Camera,Dell 3100 N4020 2-in-1 - 4GB/32GB - Dual Camera,Repaired,"York, Brenan (primary)",School District of Tift County,0.67,Tift County - ADP - Dell 3100 - NO DED - T&L - 1 Batt Included,Low,09/08/2022 07:07 AM,09/21/2022 11:00 PM,0.67,ChromeCare Client,Client Portal,Client Service Engineer L1
P208EXZW,T20220908.0014,Lenovo 100e Gen 2 A4,Lenovo 100e Gen 2 A4,Waiting Repair,,School District of Eaton Community,0.00,Eaton - ADP - Lenovo 100e Gen 2 A4,Low,09/08/2022 07:18 AM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,
P208DQSA,T20220908.0015,Lenovo 100e Gen 2 A4,Lenovo 100e Gen 2 A4,Complete,"Julsrud, Matthew (primary)",School District of Eaton Community,0.00,Eaton - ADP - Lenovo 100e Gen 2 A4,Low,09/08/2022 07:18 AM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,Client Service Engineer L1
PF2PAK4R,T20220908.0016,Lenovo 300e Gen 2 N4020 - 4GB/32GB - Dual Camera,Lenovo 300e Gen 2 N4020 - 4GB/32GB - Dual Camera,Repaired,"Fox, Matthew (primary)",School District of Beloit,0.33,Beloit - ADP - Lenovo 300e G2 - SIS + Loss/Theft - NO DED - Batt Included,Low,09/08/2022 07:20 AM,09/21/2022 11:00 PM,0.33,ChromeCare Client,Client Portal,Client Service Engineer L1
NXHQEAA00102115C8B7600,T20220908.0017,Acer C871-C85K,Acer C871-C85K,Complete,"Guerrero, Saul (primary)",School District of Wilmot,0.50,Wilmot - ADP - Acer C871-C85K,Low,09/08/2022 07:21 AM,09/21/2022 11:00 PM,0.50,ChromeCare Client,Client Portal,Client Service Engineer L1
PF2QZC99,T20220908.0018,Lenovo 300e Gen 2 N4020 - 4GB/32GB - Dual Camera,Lenovo 300e Gen 2 N4020 - 4GB/32GB - Dual Camera,Repaired,"Fox, Matthew (primary)",School District of Beloit,0.33,Beloit - ADP - Lenovo 300e G2 - SIS + Loss/Theft - NO DED - Batt Included,Low,09/08/2022 07:22 AM,09/21/2022 11:00 PM,0.33,ChromeCare Client,Client Portal,Client Service Engineer L1
PF2SJDN3,T20220908.0019,Lenovo 100e Gen 2 N4020 - 4GB/32GB,Lenovo 100e Gen 2 N4020 - 4GB/32GB,Complete,"Zera, Austin (primary)",School District of Beloit,0.42,Beloit - ADP - Lenovo 100e G2 - SIS + Loss/Theft - Batt Included,Low,09/08/2022 07:25 AM,09/21/2022 11:00 PM,0.42,ChromeCare Client,Client Portal,Client Service Engineer L1
PF2SJ4MF,T20220908.0020,Lenovo 100e Gen 2 N4020 - 4GB/32GB,Lenovo 100e Gen 2 N4020 - 4GB/32GB,Repaired,"Peavey, Micheal (primary)",School District of Beloit,0.33,Beloit - ADP - Lenovo 100e G2 - SIS + Loss/Theft - Batt Included,Low,09/08/2022 07:26 AM,09/21/2022 11:00 PM,0.33,ChromeCare Client,Client Portal,Client Service Engineer L1
PF2SJGGW,T20220908.0021,Lenovo 100e Gen 2 N4020 - 4GB/32GB,Lenovo 100e Gen 2 N4020 - 4GB/32GB,Complete,"Vue, Ricky (primary)",School District of Beloit,1.17,Beloit - ADP - Lenovo 100e G2 - SIS + Loss/Theft - Batt Included,Low,09/08/2022 07:26 AM,09/21/2022 11:00 PM,1.17,ChromeCare Client,Client Portal,Client Service Engineer L1
PF2R5MLA,T20220908.0022,Lenovo 300e Gen 2 N4020 - 4GB/32GB - Dual Camera,Lenovo 300e Gen 2 N4020 - 4GB/32GB - Dual Camera,Waiting Pickup,,School District of Green Bay,0.00,Green Bay - ADP - Lenovo 300e Gen 2 N4020 - $100,Low,09/08/2022 07:31 AM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,
PF2SL8LJ,T20220908.0023,Lenovo 100e Gen 2 N4020 - 4GB/32GB,Lenovo 100e Gen 2 N4020 - 4GB/32GB,Repaired,"Peavey, Micheal (primary)",School District of Beloit,0.35,Beloit - ADP - Lenovo 100e G2 - SIS + Loss/Theft - Batt Included,Low,09/08/2022 07:31 AM,09/21/2022 11:00 PM,0.35,ChromeCare Client,Client Portal,Client Service Engineer L1
PF2SJ97F,T20220908.0024,Lenovo 100e Gen 2 N4020 - 4GB/32GB,Lenovo 100e Gen 2 N4020 - 4GB/32GB,Complete,"Zera, Austin (primary)",School District of Beloit,0.42,Beloit - ADP - Lenovo 100e G2 - SIS + Loss/Theft - Batt Included,Low,09/08/2022 07:32 AM,09/21/2022 11:00 PM,0.42,ChromeCare Client,Client Portal,Client Service Engineer L1
P209H1MX,T20220908.0025,Lenovo 500e Gen 2 N4120 - 4GB/32GB,Lenovo 500e Gen 2 N4120 - 4GB/32GB,Waiting Repair,,School District of Mequon-Thiensville,0.00,Mequon - ADP - Lenovo 500e Gen 2 - $100 - 22-23,Low,09/08/2022 07:39 AM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,
NXHQEAA00102115C7B7600,T20220908.0026,Acer C871-C85K,Acer C871-C85K,Complete,"Saniter, Tanner (primary)",School District of Wilmot,0.50,Wilmot - ADP - Acer C871-C85K,Low,09/08/2022 07:44 AM,09/21/2022 11:00 PM,0.50,ChromeCare Client,Client Portal,Client Service Engineer L1
P209H1PG,T20220908.0027,Lenovo 500e Gen 2 N4120 - 4GB/32GB,Lenovo 500e Gen 2 N4120 - 4GB/32GB,Waiting Verification,"Rodriguez, Juan (primary)",School District of Mequon-Thiensville,0.67,Mequon - ADP - Lenovo 500e Gen 2 - $100 - 22-23,Low,09/08/2022 07:47 AM,09/21/2022 11:00 PM,0.67,ChromeCare Client,Client Portal,Client Service Engineer L1
P205WZJV,T20220908.0028,Lenovo 500e Gen 2 N4100 - 4GB/32GB,Lenovo 500e Gen 2 N4100 - 4GB/32GB,Repaired,"McClain, Anastasia (primary)",School District of Elmhurst 205,0.75,Elmhurst - ADP - Lenovo 500e G2 - $100,Low,09/08/2022 07:52 AM,09/21/2022 11:00 PM,0.75,ChromeCare Client,Client Portal,Client Service Engineer L1
NXA94AA0011083E7DB7611,T20220908.0029,Acer R752T-C2YP N4020 - 4GB/32GB - No Stylus - Single Camera,Acer R752T-C2YP N4020 - 4GB/32GB - No Stylus - Single Camera,Waiting Verification,"Rosas-Soto, Alejandro (primary)",School District of Mequon-Thiensville,0.67,Mequon - ADP - Acer R752T - $100 - 22-23,Low,09/08/2022 07:52 AM,09/21/2022 11:00 PM,0.67,ChromeCare Client,Client Portal,Client Service Engineer L1
NXHPWAA002110257937611,T20220908.0030,Acer R752T-C3M5 N4020 - 4GB/32GB - No Stylus,Acer R752T-C3M5 N4020 - 4GB/32GB - No Stylus,Repaired,"Rosas-Soto, Alejandro (primary)",School District of Lemont-Bromberek 113A,0.67,Lemont 113A - ADP - Acer R752T - $100,Low,09/08/2022 07:53 AM,09/21/2022 11:00 PM,0.67,ChromeCare Client,Client Portal,Client Service Engineer L1
P203CRED,T20220908.0031,Lenovo 300e Chromebook,Lenovo 300e Chromebook,Waiting Repair,,School District of Bedford Central,0.00,Bedford - ADP - Lenovo 300e - $100,Low,09/08/2022 07:58 AM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,
4K9W9FANB01760T,T20220908.0032,Samsung 4 N4020 - 4GB/16GB,Samsung 4 N4020 - 4GB/16GB,Complete,"Moua, Hue (primary)",School District of Beloit,0.67,Beloit - ADP - Samsung 4 - Loss & Theft - SIS,Low,09/08/2022 08:00 AM,09/21/2022 11:00 PM,0.67,ChromeCare Client,Client Portal,Client Service Engineer L1
NXHQEAA0010212507C7600,T20220908.0033,Acer C871-C85K,Acer C871-C85K,Waiting Parts,"Guerrero, Saul (primary)",School District of Wilmot,0.00,Wilmot - ADP - Acer C871-C85K,Low,09/08/2022 08:00 AM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,Client Service Engineer L1
PF2SJQYT,T20220908.0034,Lenovo 100e Gen 2 N4020 - 4GB/32GB,Lenovo 100e Gen 2 N4020 - 4GB/32GB,Complete,"Peterson, William (primary)",School District of Beloit,0.67,Beloit - ADP - Lenovo 100e G2 - SIS + Loss/Theft - Batt Included,Low,09/08/2022 08:01 AM,09/21/2022 11:00 PM,0.67,ChromeCare Client,Client Portal,Client Service Engineer L1
P208RVCH,T20220908.0035,Lenovo 100e Gen 2 A4,Lenovo 100e Gen 2 A4,Waiting Verification,"Rademan, Zachary (primary)",School District of Riverside-Brookfield 208,1.00,Riverside - ADP - Lenovo 100e G2 A4,Low,09/08/2022 08:02 AM,09/21/2022 11:00 PM,1.00,ChromeCare Client,Client Portal,Client Service Engineer L1
PF2SLGN2,T20220908.0036,Lenovo 100e Gen 2 N4020 - 4GB/32GB,Lenovo 100e Gen 2 N4020 - 4GB/32GB,Complete,"Espinoza, Miguel (primary)",School District of Beloit,0.50,Beloit - ADP - Lenovo 100e G2 - SIS + Loss/Theft - Batt Included,Low,09/08/2022 08:03 AM,09/21/2022 11:00 PM,0.50,ChromeCare Client,Client Portal,Client Service Engineer L1
NXHPWAA0020502CAAA7611,T20220908.0037,Acer R752T-C3M5 N4020 - 4GB/32GB - No Stylus,Acer R752T-C3M5 N4020 - 4GB/32GB - No Stylus,Waiting Verification,"Yan, Jerry (primary)",School District of Oconomowoc,0.75,Oconomowoc - ADP - Acer R752T - SIS - No Ded,Low,09/08/2022 08:03 AM,09/21/2022 11:00 PM,0.75,ChromeCare Client,Client Portal,Client Service Engineer L1
NXGUKAA0019190E7187600,T20220908.0038,Acer C732 Chromebook,Acer C732 Chromebook,Complete,"Behling, Lindsay (primary)",School District of Whitnall,0.00,Whitnall - ADP - Acer C732,Low,09/08/2022 08:03 AM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,Administration
PF2SL3H2,T20220908.0039,Lenovo 100e Gen 2 N4020 - 4GB/32GB,Lenovo 100e Gen 2 N4020 - 4GB/32GB,Repaired,"Eslit, Karl (primary)",School District of Beloit,0.67,Beloit - ADP - Lenovo 100e G2 - SIS + Loss/Theft - Batt Included,Low,09/08/2022 08:03 AM,09/21/2022 11:00 PM,0.67,ChromeCare Client,Client Portal,Client Service Engineer L1
PF2SLEJS,T20220908.0040,Lenovo 100e Gen 2 N4020 - 4GB/32GB,Lenovo 100e Gen 2 N4020 - 4GB/32GB,Complete,"Espinoza, Miguel (primary)",School District of Beloit,0.50,Beloit - ADP - Lenovo 100e G2 - SIS + Loss/Theft - Batt Included,Low,09/08/2022 08:04 AM,09/21/2022 11:00 PM,0.50,ChromeCare Client,Client Portal,Client Service Engineer L1
PF2SK1WF,T20220908.0041,Lenovo 100e Gen 2 N4020 - 4GB/32GB,Lenovo 100e Gen 2 N4020 - 4GB/32GB,Complete,"McClain, Anastasia (primary)",School District of Beloit,0.67,Beloit - ADP - Lenovo 100e G2 - SIS + Loss/Theft - Batt Included,Low,09/08/2022 08:05 AM,09/21/2022 11:00 PM,0.67,ChromeCare Client,Client Portal,Client Service Engineer L1
29CZCB3,T20220908.0042,Dell 3100 N4020 - 4GB/32GB - 2 USB Port - Touch,Dell 3100 N4020 - 4GB/32GB - 2 USB Port - Touch,Waiting Verification,"Peterson, William (primary)",School District of Sheboygan Falls,0.33,Sheboygan Falls - ADP - Dell 3100 - $100,Low,09/08/2022 08:05 AM,09/21/2022 11:00 PM,0.33,ChromeCare Client,Client Portal,Client Service Engineer L1
PF2SK322,T20220908.0043,Lenovo 100e Gen 2 N4020 - 4GB/32GB,Lenovo 100e Gen 2 N4020 - 4GB/32GB,Complete,"Rosas-Soto, Alejandro (primary)",School District of Beloit,0.67,Beloit - ADP - Lenovo 100e G2 - SIS + Loss/Theft - Batt Included,Low,09/08/2022 08:06 AM,09/21/2022 11:00 PM,0.67,ChromeCare Client,Client Portal,Client Service Engineer L1
PF2SKPL6,T20220908.0044,Lenovo 100e Gen 2 N4020 - 4GB/32GB,Lenovo 100e Gen 2 N4020 - 4GB/32GB,Repaired,"Eslit, Karl (primary)",School District of Beloit,0.58,Beloit - ADP - Lenovo 100e G2 - SIS + Loss/Theft - Batt Included,Low,09/08/2022 08:06 AM,09/21/2022 11:00 PM,0.58,ChromeCare Client,Client Portal,Client Service Engineer L1
PF2SHN49,T20220908.0045,Lenovo 100e Gen 2 N4020 - 4GB/32GB,Lenovo 100e Gen 2 N4020 - 4GB/32GB,Complete,"Rosas-Soto, Alejandro (primary)",School District of Beloit,0.50,Beloit - ADP - Lenovo 100e G2 - SIS + Loss/Theft - Batt Included,Low,09/08/2022 08:07 AM,09/21/2022 11:00 PM,0.50,ChromeCare Client,Client Portal,Client Service Engineer L1
PF2SQS9M,T20220908.0046,Lenovo 100e Gen 2 N4020 - 4GB/32GB,Lenovo 100e Gen 2 N4020 - 4GB/32GB,Repaired,"Moua, Hue (primary)",School District of Beloit,1.83,Beloit - ADP - Lenovo 100e G2 - SIS + Loss/Theft - Batt Included,Low,09/08/2022 08:08 AM,09/21/2022 11:00 PM,1.83,ChromeCare Client,Client Portal,Client Service Engineer L1
5CD9095M7S,T20220908.0047,HP Chromebook 11a G6 EE 4GB/32GB,HP Chromebook 11a G6 EE 4GB/32GB,Complete,"Julsrud, Matthew (primary)",School District of Waterford - High School,0.00,Waterford HS - ADP - HP 11a G6 EE - 20-21,Low,09/08/2022 08:11 AM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,Client Service Engineer L1
5CD819882R,T20220908.0048,HP Chromebook 11 G6 EE 4GB/16GB,HP Chromebook 11 G6 EE 4GB/16GB,Complete,"Julsrud, Matthew (primary)",School District of Tri County Area,0.00,Tri County - ADP - HP 11 G6 EE,Low,09/08/2022 08:12 AM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,Client Service Engineer L1
MP1WQ5CL,T20220908.0049,Lenovo 100e Gen 2 A4,Lenovo 100e Gen 2 A4,Repaired,"York, Brenan (primary)",School District of Fort Atkinson,0.33,Fort Atkinson - ADP - Lenovo 100e G2,Low,09/08/2022 08:15 AM,09/21/2022 11:00 PM,0.33,ChromeCare Client,Client Portal,Client Service Engineer L1
NXGUKAA0019190F6037600,T20220908.0050,Acer C732 Chromebook,Acer C732 Chromebook,Complete,"Kundert, Austin (primary)",School District of Whitnall,0.00,Whitnall - ADP - Acer C732,Low,09/08/2022 08:16 AM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,Client Service Engineer L1
NXH8WAA001917025667600,T20220908.0051,Acer C733T-C8SZ Chromebook,Acer C733T-C8SZ Chromebook,Waiting Verification,"Wirth, Patrick (primary) | Sanchez, Rolando",School District of Menasha,1.12,Menasha - ADP - Acer C733T - $100,Low,09/08/2022 08:16 AM,09/21/2022 11:00 PM,1.12,ChromeCare Client,Client Portal,Client Service Engineer L1
NXH8WAA00191701F737600,T20220908.0052,Acer C733T-C8SZ Chromebook,Acer C733T-C8SZ Chromebook,Waiting Verification,"Bourn, Jeffrey (primary) | Vankerkvoorde, Ryan",School District of Menasha,1.17,Menasha - ADP - Acer C733T - $100,Low,09/08/2022 08:16 AM,09/21/2022 11:00 PM,1.17,ChromeCare Client,Client Portal,Client Service Engineer L1
5CD0268P60,T20220908.0053,HP ProBook 430 G7 i5-10110U - 8GB/128GB,HP ProBook 430 G7 i5-10110U - 8GB/128GB,Waiting Repair,"Nikolau, Lukas (primary)",School District of Kettle Moraine,0.00,Kettle Moraine - ADP - HP 403 G7 i5 - 1st Break Free,Low,09/08/2022 08:18 AM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,Client Service Engineer L1
5CD0268P7K,T20220908.0054,HP ProBook 430 G7 i5-10110U - 8GB/128GB,HP ProBook 430 G7 i5-10110U - 8GB/128GB,Waiting Repair,"Nikolau, Lukas (primary)",School District of Kettle Moraine,0.00,Kettle Moraine - ADP - HP 403 G7 i5 - 1st Break Free,Low,09/08/2022 08:19 AM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,Client Service Engineer L1
MP1WQ8E1,T20220908.0055,Lenovo 100e Gen 2 A4,Lenovo 100e Gen 2 A4,Repaired,"Fox, Matthew (primary)",School District of Fort Atkinson,0.25,Fort Atkinson - ADP - Lenovo 100e G2,Low,09/08/2022 08:20 AM,09/21/2022 11:00 PM,0.25,ChromeCare Client,Client Portal,Client Service Engineer L1
PF2SKX6D,T20220908.0056,Lenovo 100e Gen 2 N4020 - 4GB/32GB,Lenovo 100e Gen 2 N4020 - 4GB/32GB,Complete,"Zera, Austin (primary)",School District of Beloit,0.67,Beloit - ADP - Lenovo 100e G2 - SIS + Loss/Theft - Batt Included,Low,09/08/2022 08:22 AM,09/21/2022 11:00 PM,0.67,ChromeCare Client,Client Portal,Client Service Engineer L1
5CD93569B4,T20220908.0057,HP Chromebook 11 G7 EE 4GB/16GB,HP Chromebook 11 G7 EE 4GB/16GB,Battery Swap Required,"Gonzalez, Jime (primary)",School District of Bethalto 8,2.67,Bethalto - ADP - HP 11 G7 EE - SiS,Low,09/08/2022 08:24 AM,09/21/2022 11:00 PM,2.67,ChromeCare Client,Client Portal,Client Service Engineer L1
MP1WQ6Z3,T20220908.0058,Lenovo 100e Gen 2 A4,Lenovo 100e Gen 2 A4,Waiting Repair,,School District of Fort Atkinson,0.00,Fort Atkinson - ADP - Lenovo 100e G2,Low,09/08/2022 08:24 AM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,
PF2SHYYZ,T20220908.0059,Lenovo 100e Gen 2 N4020 - 4GB/32GB,Lenovo 100e Gen 2 N4020 - 4GB/32GB,Complete,"Rosas-Soto, Alejandro (primary)",School District of Beloit,0.50,Beloit - ADP - Lenovo 100e G2 - SIS + Loss/Theft - Batt Included,Low,09/08/2022 08:24 AM,09/21/2022 11:00 PM,0.50,ChromeCare Client,Client Portal,Client Service Engineer L1
PF2SK3GY,T20220908.0060,Lenovo 100e Gen 2 N4020 - 4GB/32GB,Lenovo 100e Gen 2 N4020 - 4GB/32GB,Complete,"Rosas-Soto, Alejandro (primary)",School District of Beloit,0.50,Beloit - ADP - Lenovo 100e G2 - SIS + Loss/Theft - Batt Included,Low,09/08/2022 08:25 AM,09/21/2022 11:00 PM,0.50,ChromeCare Client,Client Portal,Client Service Engineer L1
NXEFJAA0019210CD837600,T20220908.0061,Acer Spin 13 Chromebook,Acer Spin 13 Chromebook,Waiting Parts,"Nikolau, Lukas (primary)",School District of Greendale,0.08,Greendale - ADP - Acer Spin 13 - $100,Low,09/08/2022 08:26 AM,09/21/2022 11:00 PM,0.08,ChromeCare Client,Client Portal,Client Service Engineer L1
PF2SK4J3,T20220908.0062,Lenovo 100e Gen 2 N4020 - 4GB/32GB,Lenovo 100e Gen 2 N4020 - 4GB/32GB,Complete,"Rosas-Soto, Alejandro (primary)",School District of Beloit,0.67,Beloit - ADP - Lenovo 100e G2 - SIS + Loss/Theft - Batt Included,Low,09/08/2022 08:27 AM,09/21/2022 11:00 PM,0.67,ChromeCare Client,Client Portal,Client Service Engineer L1
PF2SK5MS,T20220908.0063,Lenovo 100e Gen 2 N4020 - 4GB/32GB,Lenovo 100e Gen 2 N4020 - 4GB/32GB,Complete,"Espinoza, Miguel (primary)",School District of Beloit,0.50,Beloit - ADP - Lenovo 100e G2 - SIS + Loss/Theft - Batt Included,Low,09/08/2022 08:28 AM,09/21/2022 11:00 PM,0.50,ChromeCare Client,Client Portal,Client Service Engineer L1
NXA6UAA001116334A37600,T20220908.0064,Acer C722-K4CN MTK8183 - 4GB/32GB,Acer C722-K4CN MTK8183 - 4GB/32GB,Complete,"York, Brenan (primary)",School District of Waupaca,0.42,Waupaca - ADP - Acer C722,Low,09/08/2022 08:29 AM,09/21/2022 11:00 PM,0.42,ChromeCare Client,Client Portal,Client Service Engineer L1
NXHQFAA0011142755C7600,T20220908.0065,Acer C871T-C5YF 5205U - 4GB/32GB,Acer C871T-C5YF 5205U - 4GB/32GB,Waiting Repair,,School District of Strafford,0.00,Strafford - ADP - Acer C871T - No Ded,Low,09/08/2022 08:31 AM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,
NXHQFAA001114276457600,T20220908.0066,Acer C871T-C5YF 5205U - 4GB/32GB,Acer C871T-C5YF 5205U - 4GB/32GB,Waiting Repair,,School District of Strafford,0.00,Strafford - ADP - Acer C871T - No Ded,Low,09/08/2022 08:31 AM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,
PF2PDHKJ,T20220908.0067,Lenovo 300e Gen 2 N4020 - 4GB/32GB - Dual Camera,Lenovo 300e Gen 2 N4020 - 4GB/32GB - Dual Camera,Waiting Verification,"Yan, Jerry (primary)",School District of Green Bay,0.25,Green Bay - ADP - Lenovo 300e Gen 2 N4020 - $100,Low,09/08/2022 08:32 AM,09/21/2022 11:00 PM,0.25,ChromeCare Client,Client Portal,Client Service Engineer L1
5CD00983K4,T20220908.0068,HP 11 G8 EE N4020 - 4GB/32GB,HP 11 G8 EE N4020 - 4GB/32GB,Complete,"Julsrud, Matthew (primary)",School District of Tri County Area,0.00,Tri County - ADP - HP 11 G8 EE N4020 - $100,Low,09/08/2022 08:32 AM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,Client Service Engineer L1
5CD924198J,T20220908.0069,HP Chromebook 11 G7 EE 4GB/16GB,HP Chromebook 11 G7 EE 4GB/16GB,Complete,"Julsrud, Matthew (primary)",School District of Tri County Area,0.00,Tri County - ADP - HP 11 G7 EE,Low,09/08/2022 08:32 AM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,Client Service Engineer L1
8CG720449Y,T20220908.0070,HP Chromebook 11 G5,HP Chromebook 11 G5,Complete,"Julsrud, Matthew (primary)",School District of Tri County Area,0.00,Tri County - ADP - HP 11 G5 EE - $100,Low,09/08/2022 08:32 AM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,Client Service Engineer L1
8CG72074D2,T20220908.0071,HP Chromebook 11 G5,HP Chromebook 11 G5,Complete,"Julsrud, Matthew (primary)",School District of Tri County Area,0.00,Tri County - ADP - HP 11 G5 EE - $100,Low,09/08/2022 08:32 AM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,Client Service Engineer L1
4K9W9FFNB00108Z,T20220908.0072,Samsung 4 N4020 - 4GB/16GB,Samsung 4 N4020 - 4GB/16GB,Complete,"Clarke, Wellin (primary)",School District of Beloit,0.50,Beloit - ADP - Samsung 4 - Loss & Theft - SIS,Low,09/08/2022 08:35 AM,09/21/2022 11:00 PM,0.50,ChromeCare Client,Client Portal,Client Service Engineer L1
PF2PX240,T20220908.0073,Lenovo 300e Gen 2 N4020 - 4GB/32GB - Dual Camera,Lenovo 300e Gen 2 N4020 - 4GB/32GB - Dual Camera,Waiting Verification,"York, Brenan (primary)",School District of Green Bay,0.25,Green Bay - ADP - Lenovo 300e Gen 2 N4020 - $100,Low,09/08/2022 08:39 AM,09/21/2022 11:00 PM,0.25,ChromeCare Client,Client Portal,Client Service Engineer L1
NXH8WAA00191708C837600,T20220908.0074,Acer C733T-C8SZ Chromebook,Acer C733T-C8SZ Chromebook,Waiting Verification,"Palicka, Curtis (primary)",School District of Menasha,0.75,Menasha - ADP - Acer C733T - $100,Low,09/08/2022 08:40 AM,09/21/2022 11:00 PM,0.75,ChromeCare Client,Client Portal,Client Service Engineer L1
